epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.28985,3.18371,4.00235,2.36466,0,0,0,0,3.18104,4.04122,2.13308,0,0,0
2,2.73527,3.01779,3.94556,2.27377,0,0,0,0,3.16761,4.0471,2.13912,1.40071e-05,1.40071e-05,1.40071e-05
3,3.91332,3.00565,3.89611,2.30053,0,0,0,0,3.13605,4.0452,2.12007,2.74482e-05,2.74482e-05,2.74482e-05
4,5.1341,3.02864,4.08778,1.96085,0,0,0,0,3.10352,4.03998,2.10618,4.03235e-05,4.03235e-05,4.03235e-05
5,6.22141,3.10969,4.0123,2.18113,0,0,0,0,3.064,4.04357,2.0919,5.26329e-05,5.26329e-05,5.26329e-05
6,7.51052,3.00102,4.04895,2.07523,0,0,0,0,2.99625,4.0457,2.06652,6.43764e-05,6.43764e-05,6.43764e-05
7,8.65044,3.01752,4.01135,1.94194,0.00129,0.00192,0.00068,7e-05,2.94265,4.0422,2.0373,7.55541e-05,7.55541e-05,7.55541e-05
8,9.70175,3.07089,4.01936,2.02943,0.00394,0.00575,0.00308,0.00054,2.89577,4.04537,2.01468,8.61658e-05,8.61658e-05,8.61658e-05
9,10.8145,3.03338,3.8796,2.13124,0.00519,0.00766,0.0049,0.00096,2.83273,4.04114,1.97775,9.62117e-05,9.62117e-05,9.62117e-05
10,11.8626,2.95699,3.85634,1.94332,0.00646,0.00958,0.00611,0.00102,2.77742,4.04436,1.95968,0.000105692,0.000105692,0.000105692
11,13.032,3.00868,3.8787,2.07266,0.00651,0.00958,0.00689,0.00092,2.72754,4.03916,1.92615,0.000114606,0.000114606,0.000114606
12,14.2127,2.5937,3.78866,1.76884,0.00248,0.00383,0.00222,0.00037,2.6874,4.03827,1.90215,0.000122954,0.000122954,0.000122954
13,15.2019,2.76555,3.76261,1.9347,0.00251,0.00383,0.00226,0.00037,2.62628,4.04762,1.87723,0.000130736,0.000130736,0.000130736
14,16.2108,2.61838,3.75525,1.80346,0.00253,0.00383,0.00189,0.0005,2.57746,4.05059,1.84804,0.000137953,0.000137953,0.000137953
15,17.3282,2.53251,3.68274,1.78575,0.00137,0.00192,0.00124,0.0005,2.5273,4.06057,1.83648,0.000144603,0.000144603,0.000144603
16,18.4386,2.52198,3.54116,1.77411,0,0,0,0,2.47709,4.0691,1.82489,0.000150688,0.000150688,0.000150688
17,19.5271,2.65499,3.62224,1.63507,0,0,0,0,2.43481,4.0796,1.81275,0.000156207,0.000156207,0.000156207
