epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,83.823,1.88888,4.22004,2.65117,0.18429,0.10162,0.29473,0.14634,0.08192,1.66433,3.59192,2.50641,0.13863,0.000233423,0.000233423,0.000233423
2,185.852,1.64375,3.08387,2.06744,0.15701,0.42275,0.25749,0.23207,0.13084,1.49745,2.7427,2.09674,0.11885,0.000424752,0.000424752,0.000424752
3,280.518,1.43176,2.24412,1.86713,0.12913,0.49715,0.28259,0.31937,0.18786,1.38998,1.96078,1.82583,0.13503,0.000568957,0.000568957,0.000568957
4,361.855,1.30404,1.868,1.89971,0.11033,0.61019,0.30877,0.37217,0.241,1.23144,1.55694,1.65637,0.12527,0.000501942,0.000501942,0.000501942
5,434.106,1.28764,1.72335,1.74871,0.11546,0.67357,0.3269,0.40515,0.27625,1.10198,1.35927,1.57123,0.11173,0.000431256,0.000431256,0.000431256
6,510.269,1.22819,1.57406,1.75662,0.11089,0.66582,0.35169,0.41203,0.28744,1.06292,1.2627,1.55785,0.12187,0.00036057,0.00036057,0.00036057
7,583.053,1.15314,1.4707,1.64039,0.1098,0.67393,0.35949,0.43109,0.30647,1.03727,1.16389,1.52265,0.10277,0.000289884,0.000289884,0.000289884
8,652.308,1.15945,1.36503,1.64004,0.10291,0.68179,0.38478,0.45295,0.33159,0.97251,1.09331,1.50662,0.0852,0.000219198,0.000219198,0.000219198
9,755.712,1.09672,1.29553,1.62761,0.09679,0.56364,0.36016,0.41121,0.31178,0.92928,1.04531,1.515,0.07912,0.000148512,0.000148512,0.000148512
10,860.025,1.06708,1.2739,1.61057,0.09341,0.50985,0.40126,0.45296,0.34233,0.90942,1.02311,1.51804,0.07775,7.7826e-05,7.7826e-05,7.7826e-05
