epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,154.975,2.2653,4.35098,2.43639,0.19579,0.12558,0.04658,0.07755,0.04091,1.64979,4.58234,2.93343,0.10857,8.568e-05,8.568e-05,8.568e-05
2,309.522,1.93721,3.66909,2.25921,0.1485,0.3244,0.15168,0.15937,0.0933,1.62357,3.56636,2.52827,0.10579,0.000176733,0.000176733,0.000176733
3,469.131,1.82323,3.03901,2.0236,0.13941,0.4861,0.17788,0.18439,0.11517,1.42416,2.53155,2.14292,0.11017,0.000265948,0.000265948,0.000265948
4,650.632,1.58684,2.34558,1.9146,0.12683,0.55531,0.18408,0.20115,0.12692,1.20771,1.93898,1.95289,0.10838,0.000353325,0.000353325,0.000353325
5,828.749,1.47407,1.88604,1.91671,0.10789,0.67144,0.21857,0.22181,0.1411,1.22417,1.79673,1.83871,0.09915,0.000438864,0.000438864,0.000438864
6,1053.49,1.60044,1.81182,1.77455,0.11306,0.62195,0.29668,0.29537,0.20156,1.07853,1.41567,1.6696,0.08889,0.000522566,0.000522566,0.000522566
7,1209.7,1.40789,1.56828,1.7995,0.11112,0.68676,0.35462,0.36758,0.24454,1.15235,1.38941,1.61077,0.0886,0.00060443,0.00060443,0.00060443
8,1493.03,1.35001,1.46493,1.63109,0.11297,0.82993,0.36571,0.40813,0.28678,1.04709,1.27081,1.55974,0.09341,0.00066452,0.00066452,0.00066452
9,1727.17,1.26061,1.28468,1.61255,0.10485,0.85986,0.38532,0.44121,0.32564,0.97919,1.15344,1.52583,0.07601,0.000657451,0.000657451,0.000657451
10,1941.05,1.23822,1.25711,1.57497,0.10871,0.93071,0.35241,0.43033,0.34157,0.85978,0.9942,1.52838,0.0714,0.000650383,0.000650383,0.000650383
11,2247.08,1.21376,1.19555,1.52493,0.09344,0.95818,0.37328,0.45244,0.35115,0.90976,0.93645,1.48681,0.08143,0.000643314,0.000643314,0.000643314
