epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,18.8403,1.06469,0.85099,1.49573,0.06585,0.71276,0.5359,0.55261,0.39946,0.96388,0.77699,1.17554,0.05641,0.000586286,0.000586286,0.000586286
38,19.2733,1.07414,0.83275,1.49557,0.05509,0.69809,0.56143,0.57297,0.41074,0.96427,0.77093,1.17829,0.05513,0.00058121,0.00058121,0.00058121
39,19.6944,1.03652,0.82336,1.49816,0.05658,0.7282,0.55797,0.57235,0.41191,0.94683,0.76402,1.18122,0.05333,0.000576135,0.000576135,0.000576135
40,20.1335,1.02505,0.83264,1.45038,0.04466,0.71415,0.58244,0.58421,0.42407,0.9389,0.76322,1.17625,0.04936,0.000571059,0.000571059,0.000571059
41,21.0791,1.02366,0.80104,1.4704,0.05495,0.70716,0.59782,0.59421,0.4285,0.93726,0.76466,1.1643,0.04879,0.000565984,0.000565984,0.000565984
42,21.8985,1.04213,0.79418,1.4819,0.05181,0.67416,0.61144,0.61727,0.44111,0.9347,0.76094,1.15488,0.0489,0.000560909,0.000560909,0.000560909
43,22.326,1.02332,0.80856,1.38198,0.04877,0.68275,0.62304,0.61651,0.44167,0.92357,0.75577,1.1542,0.04741,0.000555833,0.000555833,0.000555833
44,22.7498,1.04452,0.80513,1.38476,0.05264,0.70553,0.61988,0.62035,0.45561,0.87436,0.73578,1.14935,0.04567,0.000550758,0.000550758,0.000550758
45,23.16,0.96456,0.76657,1.54797,0.05343,0.69877,0.62374,0.63661,0.46854,0.86549,0.72986,1.14374,0.04579,0.000545682,0.000545682,0.000545682
46,23.6336,1.03295,0.79483,1.42555,0.053,0.6997,0.62853,0.65704,0.4865,0.86769,0.72663,1.13343,0.04536,0.000540607,0.000540607,0.000540607
47,24.073,1.05331,0.79512,1.41215,0.05641,0.69598,0.63847,0.67573,0.50189,0.86258,0.72732,1.12165,0.04654,0.000535532,0.000535532,0.000535532
48,25.2481,1.05104,0.79504,1.38477,0.06095,0.74088,0.62337,0.67485,0.49657,0.86086,0.73164,1.11047,0.04461,0.000530456,0.000530456,0.000530456
49,25.6596,0.96377,0.74238,1.36125,0.05389,0.7241,0.59296,0.66348,0.48681,0.85768,0.73091,1.10701,0.04602,0.000525381,0.000525381,0.000525381
50,26.0687,0.98191,0.7696,1.41301,0.05958,0.74498,0.60076,0.65507,0.47502,0.8605,0.72879,1.1079,0.0464,0.000520305,0.000520305,0.000520305
51,26.4654,1.0001,0.78151,1.41275,0.05674,0.77931,0.60123,0.64683,0.47198,0.85597,0.72219,1.10494,0.04855,0.00051523,0.00051523,0.00051523
52,26.8828,0.98591,0.76027,1.40201,0.05935,0.79001,0.59414,0.63885,0.46736,0.85069,0.71106,1.08277,0.04392,0.000510155,0.000510155,0.000510155
