epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86495,2.52564,4.85168,2.3279,0.2255,0.04912,0.01116,0.00498,0.00207,2.09,4.83429,2.1968,0.11596,0.00013842,0.00013842,0.00013842
2,5.56042,2.34934,3.96108,1.87579,0.22321,0.07989,0.09718,0.02416,0.00745,2.03936,3.89889,1.83815,0.11703,0.000275141,0.000275141,0.000275141
3,7.4382,2.20586,3.19341,1.6328,0.1984,0.10171,0.14271,0.05015,0.01942,1.88594,3.05237,1.75779,0.09236,0.000402218,0.000402218,0.000402218
4,9.37459,2.12989,2.59608,1.61095,0.18525,0.37098,0.19026,0.15121,0.08154,1.75812,2.21544,1.61701,0.09482,0.000519652,0.000519652,0.000519652
5,11.5867,2.05004,2.17646,1.56233,0.18303,0.44951,0.23875,0.22075,0.13633,1.63317,1.87286,1.52563,0.08369,0.000627442,0.000627442,0.000627442
6,13.5814,2.02909,1.89575,1.55506,0.17167,0.5524,0.24851,0.25824,0.1524,1.77269,1.85866,1.54214,0.10062,0.000642115,0.000642115,0.000642115
7,15.7829,2.0252,1.73167,1.52809,0.17704,0.54669,0.27538,0.27011,0.16597,1.64858,1.6121,1.47246,0.07666,0.000616738,0.000616738,0.000616738
8,17.5784,1.91235,1.55605,1.52232,0.1612,0.40198,0.30874,0.30749,0.20063,1.49497,1.42423,1.45562,0.06884,0.000591361,0.000591361,0.000591361
9,19.877,1.93022,1.53096,1.52297,0.15682,0.38441,0.31413,0.30074,0.17543,1.68642,1.52311,1.50459,0.07438,0.000565984,0.000565984,0.000565984
10,21.9856,1.91512,1.48986,1.49052,0.15218,0.35625,0.28978,0.27992,0.15813,1.87056,1.6199,1.54087,0.08311,0.000540607,0.000540607,0.000540607
11,23.9334,1.8256,1.3715,1.49206,0.14322,0.37616,0.36293,0.33304,0.20423,1.52551,1.31665,1.43772,0.07748,0.00051523,0.00051523,0.00051523
12,26.5644,1.78924,1.33965,1.48207,0.13388,0.62832,0.36721,0.35643,0.20789,1.61066,1.33106,1.42849,0.08453,0.000489853,0.000489853,0.000489853
13,28.5088,1.76643,1.28626,1.45413,0.1343,0.59895,0.37129,0.36036,0.20162,1.68385,1.36821,1.43528,0.08704,0.000464476,0.000464476,0.000464476
14,31.2429,1.69624,1.24704,1.44931,0.12443,0.58237,0.41957,0.39365,0.24247,1.42773,1.18675,1.34934,0.08446,0.000439099,0.000439099,0.000439099
15,33.1094,1.73364,1.28178,1.46698,0.13264,0.60544,0.40328,0.39347,0.23056,1.50441,1.19425,1.38371,0.07556,0.000413722,0.000413722,0.000413722
16,35.3889,1.72445,1.24597,1.4259,0.1314,0.59098,0.39537,0.36886,0.22724,1.41492,1.25083,1.33048,0.08315,0.000388345,0.000388345,0.000388345
17,37.8949,1.63727,1.18299,1.40664,0.12043,0.79061,0.39752,0.39097,0.22835,1.48968,1.19813,1.35522,0.07686,0.000362968,0.000362968,0.000362968
18,40.0661,1.63499,1.18596,1.40171,0.12315,0.795,0.38324,0.39321,0.23523,1.41995,1.15481,1.33196,0.07429,0.000337591,0.000337591,0.000337591
19,42.369,1.67051,1.17873,1.39751,0.12545,0.80502,0.38412,0.39022,0.23105,1.42634,1.18441,1.32342,0.07567,0.000312214,0.000312214,0.000312214
20,44.6326,1.6131,1.16158,1.39938,0.11723,0.78655,0.40068,0.38056,0.21679,1.56181,1.20913,1.3798,0.08,0.000286837,0.000286837,0.000286837
21,48.4418,1.55764,1.17226,1.43361,0.10408,0.80746,0.39899,0.3992,0.23825,1.44047,1.12133,1.33679,0.07527,0.00026146,0.00026146,0.00026146
22,49.7413,1.53546,1.13233,1.43152,0.09774,0.80428,0.40323,0.40267,0.2341,1.48895,1.11968,1.36784,0.07223,0.000236083,0.000236083,0.000236083
23,51.0157,1.54138,1.12891,1.42722,0.10313,0.69077,0.418,0.42652,0.26477,1.27829,1.05237,1.28137,0.069,0.000210706,0.000210706,0.000210706
24,52.3406,1.54264,1.13148,1.40566,0.1024,0.82795,0.40802,0.41009,0.24632,1.37759,1.0982,1.32466,0.07216,0.000185329,0.000185329,0.000185329
25,53.6471,1.55952,1.11974,1.40454,0.1091,0.63395,0.4064,0.40419,0.2393,1.39161,1.10023,1.33403,0.07684,0.000159952,0.000159952,0.000159952
26,54.9885,1.56893,1.1284,1.41263,0.10829,0.63834,0.40941,0.40628,0.24862,1.30845,1.08769,1.29928,0.07711,0.000134575,0.000134575,0.000134575
27,56.2915,1.52048,1.11167,1.37764,0.09857,0.65032,0.40674,0.40551,0.24049,1.35868,1.11281,1.31317,0.07699,0.000109198,0.000109198,0.000109198
28,57.5922,1.54904,1.12098,1.40328,0.1032,0.64377,0.4081,0.40333,0.24124,1.37366,1.10732,1.31796,0.07499,8.3821e-05,8.3821e-05,8.3821e-05
29,58.893,1.50375,1.10046,1.40872,0.09719,0.81953,0.41449,0.41027,0.24608,1.36424,1.10205,1.31088,0.07276,5.8444e-05,5.8444e-05,5.8444e-05
30,60.1727,1.52435,1.09117,1.39829,0.1021,0.81439,0.41719,0.41218,0.25042,1.34911,1.08621,1.30278,0.07417,3.3067e-05,3.3067e-05,3.3067e-05
