epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6407,2.28558,4.57788,2.27968,0.15037,0.02083,0.00521,0.01118,0.00783,2.35005,5.21962,2.45616,0.12293,0,0,0
2,27.3106,2.55654,4.81304,2.38395,0.13317,0.01282,0.00521,0.00675,0.00472,2.34775,5.20985,2.45095,0.12184,7.06931e-06,7.06931e-06,7.06931e-06
3,31.713,2.69238,4.7573,2.19897,0.15831,0,0,0,0,2.34384,5.1968,2.45279,0.12031,1.39973e-05,1.39973e-05,1.39973e-05
4,35.6698,2.52569,4.8789,2.41277,0.12232,0,0,0,0,2.34153,5.18319,2.44921,0.11964,2.07838e-05,2.07838e-05,2.07838e-05
5,39.0769,2.59884,4.72162,2.33406,0.13723,0,0,0,0,2.33072,5.16105,2.44544,0.11794,2.7429e-05,2.7429e-05,2.7429e-05
6,42.6902,2.57225,4.78512,2.37393,0.15849,0.13333,0.0009,0.06719,0.02184,2.31718,5.133,2.44122,0.11553,3.39329e-05,3.39329e-05,3.39329e-05
7,46.3758,2.59143,4.67361,2.31569,0.1767,0.11594,0.00358,0.05982,0.02208,2.30493,5.09903,2.42904,0.11375,4.02953e-05,4.02953e-05,4.02953e-05
8,50.0529,2.6831,4.75461,2.3795,0.1719,0.09649,0.00493,0.05103,0.02253,2.2958,5.06084,2.42616,0.11238,4.65164e-05,4.65164e-05,4.65164e-05
9,53.5946,2.15962,4.54911,2.49431,0.13845,0.07843,0.00538,0.04271,0.02021,2.2727,5.00848,2.41185,0.11125,5.25961e-05,5.25961e-05,5.25961e-05
10,57.3437,2.51971,4.79501,2.31947,0.13579,0.0744,0.0056,0.04091,0.02125,2.2483,4.95753,2.39281,0.11021,5.85344e-05,5.85344e-05,5.85344e-05
11,60.8078,2.44426,4.50044,2.4044,0.15693,0.08333,0.00672,0.04583,0.02374,2.22536,4.89951,2.38056,0.10833,6.43314e-05,6.43314e-05,6.43314e-05
12,64.9092,2.45112,4.53494,2.10805,0.16143,0.09179,0.00851,0.05052,0.02855,2.19565,4.83342,2.36768,0.10528,6.9987e-05,6.9987e-05,6.9987e-05
13,68.3641,2.17918,4.48688,2.02773,0.11531,0.09579,0.0112,0.05331,0.03001,2.14954,4.75756,2.33868,0.10333,7.55012e-05,7.55012e-05,7.55012e-05
14,72.7468,2.31798,4.52604,2.24205,0.14076,0.08661,0.01478,0.05027,0.02937,2.11755,4.67076,2.31711,0.10274,8.08741e-05,8.08741e-05,8.08741e-05
15,76.6569,2.11967,4.24711,2.16102,0.15889,0.08132,0.02263,0.05104,0.03084,2.08451,4.57684,2.2887,0.10225,8.61055e-05,8.61055e-05,8.61055e-05
16,80.3274,2.16971,4.22323,2.09463,0.15467,0.0789,0.03584,0.05539,0.0331,2.05899,4.46776,2.24969,0.1036,9.11957e-05,9.11957e-05,9.11957e-05
17,83.7071,2.01505,4.22831,2.09537,0.13983,0.0752,0.05107,0.0591,0.03508,2.02968,4.34981,2.21184,0.10276,9.61444e-05,9.61444e-05,9.61444e-05
18,86.8643,2.16163,4.30877,2.09897,0.15007,0.0752,0.05107,0.0591,0.03508,2.02968,4.34981,2.21184,0.10276,0.000100952,0.000100952,0.000100952
19,92.6573,2.1749,4.27981,1.9482,0.13464,0.07359,0.06698,0.06139,0.03631,1.99068,4.23395,2.16972,0.10106,0.000105618,0.000105618,0.000105618
20,95.9873,2.00798,4.07202,2.07959,0.12696,0.07359,0.06698,0.06139,0.03631,1.99068,4.23395,2.16972,0.10106,0.000110142,0.000110142,0.000110142
21,100.826,2.02117,4.03034,2.02751,0.1485,0.07942,0.08309,0.06776,0.03822,1.94759,4.09892,2.12087,0.09999,0.000114526,0.000114526,0.000114526
22,103.964,1.85117,3.9406,1.93175,0.09447,0.07942,0.08309,0.06776,0.03822,1.94759,4.09892,2.12087,0.09999,0.000118767,0.000118767,0.000118767
23,109.244,2.23316,4.18394,1.92958,0.1434,0.08398,0.09471,0.07265,0.04044,1.92542,3.9597,2.07618,0.10026,0.000122868,0.000122868,0.000122868
24,112.278,2.29112,4.12053,1.84427,0.13376,0.08398,0.09471,0.07265,0.04044,1.92542,3.9597,2.07618,0.10026,0.000126827,0.000126827,0.000126827
25,117.67,2.31593,4.19981,1.93737,0.10959,0.09629,0.10744,0.08024,0.04328,1.90103,3.81534,2.03253,0.09976,0.000130645,0.000130645,0.000130645
